Rating,Number Of Ratings,Address
4.5/5,1933 ratings,"1705 Post Oak Boulevard, Houston, TX 77056, USA"
Sandwich (Small),$116.99,Combos,"Serves 8 to 10 People. Assorted Sandwiches, One Salad and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Sandwich (Large),$216.99,Combos,"Serves 15 to 20 People. Assorted Sandwiches, Two Salads and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Pizza (Small),$116.99,Combos,Serves 8 to 10 People. Five Pizzas and One Salad.
Pizza (Large),$216.99,Combos,Serves 15 to 20 People. Ten Pizzas and Two Salads.
Pasta (Small),$151.99,Combos,Serves 8 to 10 People. Two Pastas and One Salad.
Pasta (Large),$196.99,Combos,Serves 15 to 20 People. Two Pastas and Two Salads.
Trio (Small),$134.99,Combos,"Serves 8 to 10 People. One Salad, One Pasta and Three Pizzas."
Trio (Large),$256.99,Combos,"Serves 15 to 20 People. Two Salads, Two Pastas and Six Pizzas."
Sweets Platter (Small),$22.99,Desserts + Beverages,"Vegetarian. Includes an assortment of the following sweets: Brownies, White Chocolate-Macadamia Nut Cookies, Rocky Road Cookies, Snickerdoodles and Chocolate Chunk Cookies."
Sweets Platter (Large),$39.99,Desserts + Beverages,Serves 15-20 and includes a combination of brownies and assorted cookies
Red Velvet Cake,$54.99,Desserts + Beverages,CPK Favorite. Vegetarian.
Key Lime Pie,$36.99,Desserts + Beverages,Vegetarian.
Soda,$1.99,Desserts + Beverages,12oz. can.
Dasani Water,$1.99,Desserts + Beverages,½L. bottle.
4.5/5,1933 ratings,"1705 Post Oak Boulevard, Houston, TX 77056, USA"
The Original BBQ Chicken,$14.99,Most Loved,CPK Favorite.
Pepperoni,$13.99,Most Loved, 
Sandwich (Large),$216.99,Most Popular,"Serves 15 to 20 People. Assorted Sandwiches, Two Salads and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Sandwich (Small),$116.99,Most Popular,"Serves 8 to 10 People. Assorted Sandwiches, One Salad and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Spinach Artichoke Dip,$31.99,Appetizers,CPK Favorite. Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Szechuan Chicken Dumplings,$25.99,Appetizers,"Chinese dumplings, topped with sesame seeds and scallions; served with our soy-ginger chili sauce."
Avocado Club Egg Rolls,$32.99,Appetizers,"CPK Favorite. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$29.99,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
White Corn Guacamole + Chips,$24.99,Appetizers,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
New! Charred Shishito Peppers,$29.99,Appetizers,"Vegetarian. Gluten Free. East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Tortilla Spring Rolls,$23.99,Appetizers,Baked in our hearth oven and sprinkled with herbs. Choose a combination of any three.
The Original BBQ Chicken Chopped,$45.99,Salads,"CPK Favorite. Black beans, sweet corn, jícama, fresh cilantro and basil, crispy corn tortilla strips and Monterey Jack, topped with BBQ chicken, tomatoes and scallions; served with our legendary BBQ sauce and housemade herb-ranch."
Quinoa + Arugula,$43.99,Salads,"CPK Favorite. Vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta, served with our housemade champagne vinaigrette."
Chinese Chicken,$42.99,Salads,"Napa and red cabbage, romaine and wontons, served with scallions, fresh cilantro, sesame seeds and hoisin-ginger vinaigrette."
California Cobb,$45.99,Salads,"Gluten-Free Ingredients. Nueske’s Applewood-smoked bacon, avocado, chicken, tomatoes, chopped eggs, fresh basil and Gorgonzola with housemade herb-ranch or Bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$44.99,Salads,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil, served with mustard-herb vinaigrette."
Roasted Veggie,$43.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red and yellow peppers, corn and sun-dried tomatoes, served over cool romaine with avocado and housemade Dijon-balsamic vinaigrette."
Thai Crunch,$44.99,Salads,"CPK Favorite. Crisp vegetables and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks, served with Thai peanut dressing."
Waldorf Chicken,$43.99,Salads,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola, served with housemade Dijon-balsamic vinaigrette."
Classic Caesar,$33.99,Salads,With shaved Parmesan and housemade garlic-butter croutons.
Platter (Small),$56.99,Sandwiches,"Serves 8 to 10 People. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Platter (Large),$94.99,Sandwiches,"Serves 15 to 20 People. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Potato Chips (Per Bag),$1.29,Sandwiches, 
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,CPK Favorite.
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,CPK Favorite.
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,Vegetarian.
The Works,$15.79,Original Hand-Tossed Pizzas, 
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas, 
Pepperoni,$13.99,Original Hand-Tossed Pizzas, 
Hawaiian,$13.99,Original Hand-Tossed Pizzas, 
New! Carne Asada,$15.99,Original Hand-Tossed Pizzas, 
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,Vegetarian.
California Veggie,$13.99,Original Hand-Tossed Pizzas,Vegetarian.
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,CPK Favorite.
Chicken Tequila Fettuccine,$53.99,Pastas + Specialties,"CPK Favorite. Our creamy jalapeño-lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Jambalaya Fettuccine,$63.99,Pastas + Specialties,"Blackened chicken and shrimp, crawfish, andouille sausage and tasso ham in our spicy Cajun sauce."
Pesto Cream Penne,$39.99,Pastas + Specialties,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Bolognese Penne,$49.99,Pastas + Specialties,Our slowly simmered traditional meat sauce sprinkled with Parmesan and parsley.
New! Wild Mushroom Strozzapreti,$55.99,Pastas + Specialties,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Kung Pao Spaghetti,$39.99,Pastas + Specialties,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Garlic Cream Fettuccine,$39.99,Pastas + Specialties,Vegetarian. Our garlic-Parmesan cream sauce with fresh Italian parsley.
Chicken Piccata,$48.99,Pastas + Specialties,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Sandwich (Per Box),$11.99,Lunch Boxes,"6 BOX MINIMUM. Sandwich, Chips and Brownie."
Salad (Per Box),$11.99,Lunch Boxes,"6 BOX MINIMUM. Salad, Pita and Brownie."
Sandwich (Small),$116.99,Combos,"Serves 8 to 10 People. Assorted Sandwiches, One Salad and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Sandwich (Large),$216.99,Combos,"Serves 15 to 20 People. Assorted Sandwiches, Two Salads and Chips. Includes an assortment of the the following sandwiches: Oven-Roasted Turkey + Brie: New. Roasted turkey breast, warm Brie, shaved Bosc pears and baby greens with housemade honey-mustard; Grilled Veggie: CPK Favorite. Vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with field greens, tomatoes and housemade sun-dried tomato aioli; California Club: Oven-roasted turkey or pulled chicken with fresh avocado and Nueske’s Applewood-smoked bacon."
Pizza (Small),$116.99,Combos,Serves 8 to 10 People. Five Pizzas and One Salad.
Pizza (Large),$216.99,Combos,Serves 15 to 20 People. Ten Pizzas and Two Salads.
Pasta (Small),$151.99,Combos,Serves 8 to 10 People. Two Pastas and One Salad.
Pasta (Large),$196.99,Combos,Serves 15 to 20 People. Two Pastas and Two Salads.
Trio (Small),$134.99,Combos,"Serves 8 to 10 People. One Salad, One Pasta and Three Pizzas."
Trio (Large),$256.99,Combos,"Serves 15 to 20 People. Two Salads, Two Pastas and Six Pizzas."
Sweets Platter (Small),$22.99,Desserts + Beverages,"Vegetarian. Includes an assortment of the following sweets: Brownies, White Chocolate-Macadamia Nut Cookies, Rocky Road Cookies, Snickerdoodles and Chocolate Chunk Cookies."
Sweets Platter (Large),$39.99,Desserts + Beverages,Serves 15-20 and includes a combination of brownies and assorted cookies
Red Velvet Cake,$54.99,Desserts + Beverages,CPK Favorite. Vegetarian.
Key Lime Pie,$36.99,Desserts + Beverages,Vegetarian.
Soda,$1.99,Desserts + Beverages,12oz. can.
Dasani Water,$1.99,Desserts + Beverages,½L. bottle.
