Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,,,Five Brothers Cafe,https://www.yelp.com/biz/five-brothers-cafe-salem?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,,,Village Garden,https://www.yelp.com/biz/village-garden-salem?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Chuck’s Place,https://www.yelp.com/biz/chucks-place-salem?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Bike Parking,Yes,,,,
Sat,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 12:00 am,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
