Rating,Number Of Ratings,Address
4.6/5,1074 ratings,"939 Broxton Avenue, Los Angeles, CA 90024, USA"
"Mediterranean (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (430 calories per slice).
"Spicy Hawaiian Chicken (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (200 calories per slice).
"Spicy Hawaiian Chicken (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (280 calories per slice).
"Spicy Hawaiian Chicken (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (350 calories per slice).
"Spicy Hawaiian Chicken (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (390 calories per slice).
"California Supreme (Mini 6"")",$13.25,BJ's Deep Dish Pizza,4 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (150 calories per slice).
"California Supreme (Small 9"")",$17.25,BJ's Deep Dish Pizza,6 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (210 calories per slice).
"California Supreme (Medium 12"")",$23.25,BJ's Deep Dish Pizza,8 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (280 calories per slice).
"California Supreme (Large 14"")",$27.50,BJ's Deep Dish Pizza,10 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (310 calories per slice).
"Vegetarian (Mini 6"")",$13.25,BJ's Deep Dish Pizza,4 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (140 calories per slice).
"Vegetarian (Small 9"")",$17.25,BJ's Deep Dish Pizza,6 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (200 calories per slice).
"Vegetarian (Medium 12"")",$23.25,BJ's Deep Dish Pizza,8 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (260 calories per slice).
"Vegetarian (Large 14"")",$27.50,BJ's Deep Dish Pizza,10 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (290 calories per slice).
"Great White (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (180 calories per slice).
"Great White (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (250 calories per slice).
"Great White (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (330 calories per slice).
"Great White (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (370 calories per slice).
"Sweet Pig (Mini 6"")",$12.25,BJ's Deep Dish Pizza,4 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (150 calories per slice).
"Sweet Pig (Small 9"")",$15.75,BJ's Deep Dish Pizza,6 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (210 calories per slice).
"Sweet Pig (Medium 12"")",$21.25,BJ's Deep Dish Pizza,8 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (270 calories per slice).
"Sweet Pig (Large 14"")",$24.50,BJ's Deep Dish Pizza,10 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (300 calories per slice).
"Barbeque Chicken (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (170 calories per slice).
"Barbeque Chicken (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (240 calories per slice).
"Barbeque Chicken (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (310 calories per slice).
"Barbeque Chicken (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (340 calories per slice).
BJ's Brewhouse Classic,$17.25,BJ's Tavern-Cut Pizza,Pepperoni | mushrooms | Italian sausage | BJ’s signature five cheese blend (110 calories per slice).
Old Country Tomato Basil,$16.75,BJ's Tavern-Cut Pizza,Seasoned tomatoes | fresh basil | fresh mozzarella | BJ’s signature five cheese blend | parmesan cheese (70 calories per slice).
The Spicy Pig,$16.95,BJ's Tavern-Cut Pizza,Oven-roasted ham | applewood smoked bacon | sweet pineapple | jalapeños | BJ’s signature five cheese blend (90 calories per slice).
The Italian Market,$17.50,BJ's Tavern-Cut Pizza,Housemade meatballs | diced pepperoni | oven-roasted ham | spicy peperoncinis | BJ’s signature five cheese blend | crushed Italian herbs (110 calories per slice).
Garlic Chicken Pesto,$17.75,BJ's Tavern-Cut Pizza,Grilled chicken | basil pesto | fire-roasted red peppers | seasoned artichoke hearts | tomatoes | BJ’s signature five cheese blend | parmesan cheese | goat cheese crumbles (100 calories per slice).
Gluten-Free Thin Crust Cheese Pizza,$12.95,Gluten-Free Choices,"Crisp, herb-infused 10-inch crust | zesty pizza sauce | BJ’s signature five cheese blend (6 slices–cal. 130/slice)."
Gluten-free Chocolate Chip Pizookie,$7.95,Gluten-Free Choices,Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1180).
Hickory Brisket and Bacon Burger,$14.95,BJ's Loaded Burgers,"Sweet, tangy BJ’s Peppered BBQ sauce | smoked brisket | applewood smoked bacon | jack + cheddar cheese | red onions | mayonnaise | served with fries (cal. 1610)."
Bacon Cheeseburger,$13.95,BJ's Loaded Burgers,Applewood smoked bacon | cheddar cheese | tomatoes | lettuce | pickles | mayonnaise | BJ’s signature burger sauce | served with fries(cal. 1380).
Classic Burger,$13.25,BJ's Loaded Burgers,Fire-grilled beef patty | tomatoes | lettuce | pickles | premium parker house bun | mayonnaise | BJ’s signature burger sauce | served with fries (cal. 1210).
Crispy Jalapeño Burger,$14.25,BJ's Loaded Burgers,Fried jalapeños | pepper jack cheese | chipotle mayonnaise | red onions | tomatoes | lettuce | cilantro | served with fries (cal. 1310).
Bacon-Guacamole Deluxe Burger,$14.75,BJ's Loaded Burgers,Housemade guacamole | applewood smoked bacon | pepper jack cheese | chipotle mayonnaise | red onions | tomatoes | jalapeños | served with fries (cal. 1590).
BJ's Brewhouse Burger,$10.75,BJ's Brewhouse Burgers,Lettuce | tomatoes | grilled onions | pickles | parmesan-crusted bun | served with fries (cal. 1000).
Black and Bleu-House,$11.95,BJ's Brewhouse Burgers,Chipotle | bleu cheese crumbles | applewood smoked bacon | grilled onions | tomatoes | Parmesan-crusted bun | roasted garlic aioli | served with fries (cal. 1160).
Chicken Fried Steak Burger,$13.95,BJ's Brewhouse Burgers,"Our diner-style beef burger, hand breaded and fried | pepper cream gravy | pepper jack cheese | sliced avocado | tomatoes | mayonnaise | fried egg | served with fries."
Southern Comfort Crispy Chicken Sandwich,$14.50,Crispy Chicken Sandwiches,Crispy fried chicken | sliced ham | applewood smoked bacon | creamy alfredo | Swiss cheese | Dijon mayonnaise | toasted parker house bun | served with fries.
Nashville Hot Crispy Chicken Sandwich,$13.50,Crispy Chicken Sandwiches,Crispy fried chicken | Nashville hot sauce | dill pickles | ranch | toasted parker house bun | served with fries.
BJ's Classic Chicken Sandwich,$13.25,Crispy Chicken Sandwiches,Crispy fried chicken | honey mustard | lettuce | tomato | dill pickles | toasted parker house bun | served with fries.
Classic Prime Rib Dip,$15.95,Sandwiches and Tacos,"Sliced, slow-roasted prime rib | hoagie roll | au jus | creamy horseradish served on the side | served with fries (cal. 1270)."
Enlightened Mediterranean Chicken Pita Tacos,$13.50,Sandwiches and Tacos,Seasoned grilled chicken | cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Mahi-Mahi or Shrimp Tacos,$13.25,Sandwiches and Tacos,"Chipotle mayonnaise | santa fe dressing | napa cabbage | carrots | red onions | cilantro | avocado ranch | fire-roasted tomato salsa | tortilla chips
Choice of two tacos: Flame-Broiled Mahi-Mahi | Lightly Fried Mahi-Mahi | Cajun Shrimp (cal. 640-770)."
California Chicken Club,$13.75,Sandwiches and Tacos,Grilled chicken | applewood smoked bacon | avocado | melted Swiss cheese | lettuce | tomatoes | roasted garlic aioli | grilled sourdough bread (cal. 1280).
"6"" Deep Dish Pizza",$5.95,Kid's Menu,"Choice of 6"" cheese or pepperoni pizza | choice of kids' drink."
Chicken Tenders,$6.25,Kid's Menu,Fried chicken tenders | served with ranch.
Mac 'N' Cheese,$6.25,Kid's Menu,Hot and tasty kraft™ macaroni & cheese.
Mini Corn Dogs,$6.25,Kid's Menu,Mini corn dogs.
Grilled Cheese,$6.25,Kid's Menu,Grilled sourdough | melted cheddar cheese.
Kids' Burger,$6.25,Kid's Menu,"Burger with lettuce, tomatoes, and pickles. Served with your choice of kids' side and drink."
Spaghetti,$6.25,Kid's Menu,Spaghetti | choice of sauce.
Big Kids' Grilled Chicken,$6.25,Kid's Menu,Grilled chicken | rice pilaf | steamed veggies | choice of kids' drink.
